id,area,households,adjacent,rent
1,54,1,"[21, 2]",100
2,42,1,"[1, 3]",100
3,487,6,"[2, 4]",100
4,93,4,"[3, 5]",100
5,116,4,"[4, 6]",100
6,210,7,"[5, 7]",100
7,158,4,"[6, 8]",100
8,122,3,"[7, 9]",100
9,184,2,"[8, 10]",100
10,119,4,"[9, 11]",100
11,570,11,"[10, 12]",100
12,490,4,"[11, 13]",100
13,170,4,"[12, 14]",100
14,85,2,"[13, 15]",100
15,360,7,"[14, 16]",100
16,740,8,"[15, 17]",100
17,459,6,"[16, 18]",100
18,222,5,"[17, 19]",100
19,222,6,"[18, 20]",100
20,100,5,"[19, 21]",100
21,215,5,"[20, 1]",100
